Subject,Gender,Year,Age,Cumulative,Candidates,Grades,Percent
German,All,2015,All ages,Cumulative percentages,3790,D and above,95.8
German,All,2015,All ages,Cumulative percentages,3790,E and above,99.4
German,All,2015,All ages,Non-cumulative percentages,3790,A,31.2
German,All,2015,All ages,Non-cumulative percentages,3790,A*,8.2
German,All,2015,All ages,Non-cumulative percentages,3790,B,27.8
German,All,2015,All ages,Non-cumulative percentages,3790,C,18.5
German,All,2015,All ages,Non-cumulative percentages,3790,D,10.1
German,All,2015,All ages,Non-cumulative percentages,3790,E,3.6
German,All,2016,All ages,Cumulative percentages,3615,A and above,40
German,All,2016,All ages,Cumulative percentages,3615,A*,9.5
German,All,2016,All ages,Cumulative percentages,3615,B and above,68.3
German,All,2016,All ages,Cumulative percentages,3615,C and above,87.3
German,All,2016,All ages,Cumulative percentages,3615,D and above,96.3
German,All,2016,All ages,Cumulative percentages,3615,E and above,99.5
German,All,2016,All ages,Non-cumulative percentages,3615,A,30.5
German,All,2016,All ages,Non-cumulative percentages,3615,A*,9.5
German,All,2016,All ages,Non-cumulative percentages,3615,B,28.3
German,All,2016,All ages,Non-cumulative percentages,3615,C,19
German,All,2016,All ages,Non-cumulative percentages,3615,D,9
German,All,2016,All ages,Non-cumulative percentages,3615,E,3.2
German,All,2017,Aged 18,Cumulative percentages,2840,A and above,38.6
German,All,2017,Aged 18,Cumulative percentages,2840,A*,8.2
German,All,2017,Aged 18,Cumulative percentages,2840,B and above,67.7
German,All,2017,Aged 18,Cumulative percentages,2840,C and above,86.4
German,All,2017,Aged 18,Cumulative percentages,2840,D and above,95.7
German,All,2017,Aged 18,Cumulative percentages,2840,E and above,99.3
German,All,2017,Aged 18,Non-cumulative percentages,2840,A,30.5
German,All,2017,Aged 18,Non-cumulative percentages,2840,A*,8.2
German,All,2017,Aged 18,Non-cumulative percentages,2840,B,29.1
German,All,2017,Aged 18,Non-cumulative percentages,2840,C,18.7
German,All,2017,Aged 18,Non-cumulative percentages,2840,D,9.3
German,All,2017,Aged 18,Non-cumulative percentages,2840,E,3.6
German,All,2017,All ages,Cumulative percentages,3420,A and above,41.2
German,All,2017,All ages,Cumulative percentages,3420,A*,9.9
German,All,2017,All ages,Cumulative percentages,3420,B and above,69.2
German,All,2017,All ages,Cumulative percentages,3420,C and above,87.2
German,All,2017,All ages,Cumulative percentages,3420,D and above,95.9
German,All,2017,All ages,Cumulative percentages,3420,E and above,99.3
German,All,2017,All ages,Non-cumulative percentages,3420,A,31.3
German,All,2017,All ages,Non-cumulative percentages,3420,A*,9.9
German,All,2017,All ages,Non-cumulative percentages,3420,B,28
German,All,2017,All ages,Non-cumulative percentages,3420,C,18
German,All,2017,All ages,Non-cumulative percentages,3420,D,8.7
German,All,2017,All ages,Non-cumulative percentages,3420,E,3.4
German,All,2018,Aged 18,Cumulative percentages,2510,A and above,36.9
German,All,2018,Aged 18,Cumulative percentages,2510,A*,9.4
German,All,2018,Aged 18,Cumulative percentages,2510,B and above,61.6
German,All,2018,Aged 18,Cumulative percentages,2510,C and above,80.5
German,All,2018,Aged 18,Cumulative percentages,2510,D and above,93.1
German,All,2018,Aged 18,Cumulative percentages,2510,E and above,99.1
German,All,2018,Aged 18,Non-cumulative percentages,2510,A,27.5
German,All,2018,Aged 18,Non-cumulative percentages,2510,A*,9.4
German,All,2018,Aged 18,Non-cumulative percentages,2510,B,24.8
German,All,2018,Aged 18,Non-cumulative percentages,2510,C,18.9
German,All,2018,Aged 18,Non-cumulative percentages,2510,D,12.6
German,All,2018,Aged 18,Non-cumulative percentages,2510,E,6
German,All,2018,All ages,Cumulative percentages,2860,A and above,38.4
German,All,2018,All ages,Cumulative percentages,2860,A*,9.9
German,All,2018,All ages,Cumulative percentages,2860,B and above,63.3
German,All,2018,All ages,Cumulative percentages,2860,C and above,81.3
German,All,2018,All ages,Cumulative percentages,2860,D and above,93.2
German,All,2018,All ages,Cumulative percentages,2860,E and above,99
German,All,2018,All ages,Non-cumulative percentages,2860,A,28.5
German,All,2018,All ages,Non-cumulative percentages,2860,A*,9.9
German,All,2018,All ages,Non-cumulative percentages,2860,B,24.9
German,All,2018,All ages,Non-cumulative percentages,2860,C,17.9
German,All,2018,All ages,Non-cumulative percentages,2860,D,12
German,All,2018,All ages,Non-cumulative percentages,2860,E,5.8
German,All,2019,Aged 18,Cumulative percentages,2500,A and above,37.3
German,All,2019,Aged 18,Cumulative percentages,2500,A*,10.1
German,All,2019,Aged 18,Cumulative percentages,2500,B and above,63.1
German,All,2019,Aged 18,Cumulative percentages,2500,C and above,83.2
German,All,2019,Aged 18,Cumulative percentages,2500,D and above,95.1
German,All,2019,Aged 18,Cumulative percentages,2500,E and above,99.4
German,All,2019,Aged 18,Non-cumulative percentages,2500,A,27.3
German,All,2019,Aged 18,Non-cumulative percentages,2500,A*,10.1
German,All,2019,Aged 18,Non-cumulative percentages,2500,B,25.8
German,All,2019,Aged 18,Non-cumulative percentages,2500,C,20.1
German,All,2019,Aged 18,Non-cumulative percentages,2500,D,11.9
German,All,2019,Aged 18,Non-cumulative percentages,2500,E,4.3
German,All,2019,All ages,Cumulative percentages,2865,A and above,40.4
German,All,2019,All ages,Cumulative percentages,2865,A*,12.1
German,All,2019,All ages,Cumulative percentages,2865,B and above,64.9
German,All,2019,All ages,Cumulative percentages,2865,C and above,84.2
German,All,2019,All ages,Cumulative percentages,2865,D and above,95.4
German,All,2019,All ages,Cumulative percentages,2865,E and above,99.5
German,All,2019,All ages,Non-cumulative percentages,2865,A,28.3
German,All,2019,All ages,Non-cumulative percentages,2865,A*,12.1
German,All,2019,All ages,Non-cumulative percentages,2865,B,24.5
German,All,2019,All ages,Non-cumulative percentages,2865,C,19.3
German,All,2019,All ages,Non-cumulative percentages,2865,D,11.1
German,All,2019,All ages,Non-cumulative percentages,2865,E,4.2
German,All,2020,Aged 18,Cumulative percentages,2405,A and above,57.2
German,All,2020,Aged 18,Cumulative percentages,2405,A*,21.2
German,All,2020,Aged 18,Cumulative percentages,2405,B and above,81.7
German,All,2020,Aged 18,Cumulative percentages,2405,C and above,94.8
German,All,2020,Aged 18,Cumulative percentages,2405,D and above,99.1
German,All,2020,Aged 18,Cumulative percentages,2405,E and above,100
German,All,2020,Aged 18,Non-cumulative percentages,2405,A,36
German,All,2020,Aged 18,Non-cumulative percentages,2405,A*,21.2
German,All,2020,Aged 18,Non-cumulative percentages,2405,B,24.6
German,All,2020,Aged 18,Non-cumulative percentages,2405,C,13.1
German,All,2020,Aged 18,Non-cumulative percentages,2405,D,4.3
German,All,2020,Aged 18,Non-cumulative percentages,2405,E,0.9
German,All,2020,All ages,Cumulative percentages,2665,A and above,58.3
German,All,2020,All ages,Cumulative percentages,2665,A*,22.9
German,All,2020,All ages,Cumulative percentages,2665,B and above,82
German,All,2020,All ages,Cumulative percentages,2665,C and above,94.7
German,All,2020,All ages,Cumulative percentages,2665,D and above,98.9
German,All,2020,All ages,Cumulative percentages,2665,E and above,100
German,All,2020,All ages,Non-cumulative percentages,2665,A,35.4
German,All,2020,All ages,Non-cumulative percentages,2665,A*,22.9
German,All,2020,All ages,Non-cumulative percentages,2665,B,23.7
German,All,2020,All ages,Non-cumulative percentages,2665,C,12.7
German,All,2020,All ages,Non-cumulative percentages,2665,D,4.2
German,All,2020,All ages,Non-cumulative percentages,2665,E,1.1
German,All,2021,Aged 18,Cumulative percentages,2295,A and above,66.2
German,All,2021,Aged 18,Cumulative percentages,2295,A*,32.1
German,All,2021,Aged 18,Cumulative percentages,2295,B and above,86.6
German,All,2021,Aged 18,Cumulative percentages,2295,C and above,96.2
German,All,2021,Aged 18,Cumulative percentages,2295,D and above,99.2
German,All,2021,Aged 18,Cumulative percentages,2295,E and above,100
German,All,2021,Aged 18,Non-cumulative percentages,2295,A,34.1
German,All,2021,Aged 18,Non-cumulative percentages,2295,A*,32.1
German,All,2021,Aged 18,Non-cumulative percentages,2295,B,20.4
German,All,2021,Aged 18,Non-cumulative percentages,2295,C,9.6
German,All,2021,Aged 18,Non-cumulative percentages,2295,D,3
German,All,2021,Aged 18,Non-cumulative percentages,2295,E,0.8
German,All,2021,All ages,Cumulative percentages,2505,A and above,67.6
German,All,2021,All ages,Cumulative percentages,2505,A*,34.1
German,All,2021,All ages,Cumulative percentages,2505,B and above,87
German,All,2021,All ages,Cumulative percentages,2505,C and above,96.3
German,All,2021,All ages,Cumulative percentages,2505,D and above,99.2
German,All,2021,All ages,Cumulative percentages,2505,E and above,100
German,All,2021,All ages,Non-cumulative percentages,2505,A,33.5
German,All,2021,All ages,Non-cumulative percentages,2505,A*,34.1
German,All,2021,All ages,Non-cumulative percentages,2505,B,19.4
German,All,2021,All ages,Non-cumulative percentages,2505,C,9.3
German,All,2021,All ages,Non-cumulative percentages,2505,D,3
German,All,2021,All ages,Non-cumulative percentages,2505,E,0.8
German,Female,2008,All ages,Cumulative percentages,3495,A and above,36.5
German,Female,2008,All ages,Cumulative percentages,3495,B and above,64.1
German,Female,2008,All ages,Cumulative percentages,3495,C and above,83.4
German,Female,2008,All ages,Cumulative percentages,3495,D and above,94.3
German,Female,2008,All ages,Cumulative percentages,3495,E and above,99.3
German,Female,2008,All ages,Non-cumulative percentages,3495,A,36.5
German,Female,2008,All ages,Non-cumulative percentages,3495,B,27.6
German,Female,2008,All ages,Non-cumulative percentages,3495,C,19.3
German,Female,2008,All ages,Non-cumulative percentages,3495,D,10.9
German,Female,2008,All ages,Non-cumulative percentages,3495,E,5
German,Female,2009,All ages,Cumulative percentages,3210,A and above,39.7
German,Female,2009,All ages,Cumulative percentages,3210,B and above,65.1
German,Female,2009,All ages,Cumulative percentages,3210,C and above,83.5
German,Female,2009,All ages,Cumulative percentages,3210,D and above,94.6
German,Female,2009,All ages,Cumulative percentages,3210,E and above,99.1
German,Female,2009,All ages,Non-cumulative percentages,3210,A,39.7
German,Female,2009,All ages,Non-cumulative percentages,3210,B,25.4
German,Female,2009,All ages,Non-cumulative percentages,3210,C,18.4
German,Female,2009,All ages,Non-cumulative percentages,3210,D,11.1
German,Female,2009,All ages,Non-cumulative percentages,3210,E,4.5
German,Female,2010,All ages,Cumulative percentages,3100,A and above,39.9
German,Female,2010,All ages,Cumulative percentages,3100,A*,10.1
German,Female,2010,All ages,Cumulative percentages,3100,B and above,65.6
German,Female,2010,All ages,Cumulative percentages,3100,C and above,84.1
German,Female,2010,All ages,Cumulative percentages,3100,D and above,94.7
German,Female,2010,All ages,Cumulative percentages,3100,E and above,99.1
German,Female,2010,All ages,Non-cumulative percentages,3100,A,29.8
German,Female,2010,All ages,Non-cumulative percentages,3100,A*,10.1
German,Female,2010,All ages,Non-cumulative percentages,3100,B,25.7
German,Female,2010,All ages,Non-cumulative percentages,3100,C,18.5
German,Female,2010,All ages,Non-cumulative percentages,3100,D,10.6
German,Female,2010,All ages,Non-cumulative percentages,3100,E,4.4
German,Female,2011,All ages,Cumulative percentages,2845,A and above,41.4
German,Female,2011,All ages,Cumulative percentages,2845,A*,8.7
German,Female,2011,All ages,Cumulative percentages,2845,B and above,68.2
German,Female,2011,All ages,Cumulative percentages,2845,C and above,87.3
German,Female,2011,All ages,Cumulative percentages,2845,D and above,96.2
German,Female,2011,All ages,Cumulative percentages,2845,E and above,99.4
German,Female,2011,All ages,Non-cumulative percentages,2845,A,32.7
German,Female,2011,All ages,Non-cumulative percentages,2845,A*,8.7
German,Female,2011,All ages,Non-cumulative percentages,2845,B,26.8
German,Female,2011,All ages,Non-cumulative percentages,2845,C,19.1
German,Female,2011,All ages,Non-cumulative percentages,2845,D,8.9
German,Female,2011,All ages,Non-cumulative percentages,2845,E,3.2
German,Female,2012,All ages,Cumulative percentages,2650,A and above,41.2
German,Female,2012,All ages,Cumulative percentages,2650,A*,7.5
German,Female,2012,All ages,Cumulative percentages,2650,B and above,66.6
German,Female,2012,All ages,Cumulative percentages,2650,C and above,84.6
German,Female,2012,All ages,Cumulative percentages,2650,D and above,95.4
German,Female,2012,All ages,Cumulative percentages,2650,E and above,99.1
German,Female,2012,All ages,Non-cumulative percentages,2650,A,33.7
German,Female,2012,All ages,Non-cumulative percentages,2650,A*,7.5
German,Female,2012,All ages,Non-cumulative percentages,2650,B,25.4
German,Female,2012,All ages,Non-cumulative percentages,2650,C,18
German,Female,2012,All ages,Non-cumulative percentages,2650,D,10.8
German,Female,2012,All ages,Non-cumulative percentages,2650,E,3.7
German,Female,2013,All ages,Cumulative percentages,2395,A and above,39.4
German,Female,2013,All ages,Cumulative percentages,2395,A*,7.7
German,Female,2013,All ages,Cumulative percentages,2395,B and above,67.2
German,Female,2013,All ages,Cumulative percentages,2395,C and above,86
German,Female,2013,All ages,Cumulative percentages,2395,D and above,95.5
German,Female,2013,All ages,Cumulative percentages,2395,E and above,99.3
German,Female,2013,All ages,Non-cumulative percentages,2395,A,31.7
German,Female,2013,All ages,Non-cumulative percentages,2395,A*,7.7
German,Female,2013,All ages,Non-cumulative percentages,2395,B,27.8
German,Female,2013,All ages,Non-cumulative percentages,2395,C,18.8
German,Female,2013,All ages,Non-cumulative percentages,2395,D,9.5
German,Female,2013,All ages,Non-cumulative percentages,2395,E,3.8
German,Female,2014,All ages,Cumulative percentages,2365,A and above,38.9
German,Female,2014,All ages,Cumulative percentages,2365,A*,8.1
German,Female,2014,All ages,Cumulative percentages,2365,B and above,67.9
German,Female,2014,All ages,Cumulative percentages,2365,C and above,85.2
German,Female,2014,All ages,Cumulative percentages,2365,D and above,96
German,Female,2014,All ages,Cumulative percentages,2365,E and above,99.3
German,Female,2014,All ages,Non-cumulative percentages,2365,A,30.8
German,Female,2014,All ages,Non-cumulative percentages,2365,A*,8.1
German,Female,2014,All ages,Non-cumulative percentages,2365,B,29
German,Female,2014,All ages,Non-cumulative percentages,2365,C,17.3
German,Female,2014,All ages,Non-cumulative percentages,2365,D,10.8
German,Female,2014,All ages,Non-cumulative percentages,2365,E,3.3
German,Female,2015,All ages,Cumulative percentages,2265,A and above,38.1
German,Female,2015,All ages,Cumulative percentages,2265,A*,8.3
German,Female,2015,All ages,Cumulative percentages,2265,B and above,66
German,Female,2015,All ages,Cumulative percentages,2265,C and above,84.9
German,Female,2015,All ages,Cumulative percentages,2265,D and above,95.8
German,Female,2015,All ages,Cumulative percentages,2265,E and above,99.3
German,Female,2015,All ages,Non-cumulative percentages,2265,A,29.8
German,Female,2015,All ages,Non-cumulative percentages,2265,A*,8.3
German,Female,2015,All ages,Non-cumulative percentages,2265,B,27.9
German,Female,2015,All ages,Non-cumulative percentages,2265,C,18.9
German,Female,2015,All ages,Non-cumulative percentages,2265,D,10.9
German,Female,2015,All ages,Non-cumulative percentages,2265,E,3.5
German,Female,2016,All ages,Cumulative percentages,2205,A and above,38.6
German,Female,2016,All ages,Cumulative percentages,2205,A*,9.5
German,Female,2016,All ages,Cumulative percentages,2205,B and above,67.6
German,Female,2016,All ages,Cumulative percentages,2205,C and above,87
German,Female,2016,All ages,Cumulative percentages,2205,D and above,96.1
German,Female,2016,All ages,Cumulative percentages,2205,E and above,99.5
German,Female,2016,All ages,Non-cumulative percentages,2205,A,29.1
German,Female,2016,All ages,Non-cumulative percentages,2205,A*,9.5
German,Female,2016,All ages,Non-cumulative percentages,2205,B,29
German,Female,2016,All ages,Non-cumulative percentages,2205,C,19.4
German,Female,2016,All ages,Non-cumulative percentages,2205,D,9.1
German,Female,2016,All ages,Non-cumulative percentages,2205,E,3.4
German,Female,2017,Aged 18,Cumulative percentages,1645,A and above,36.4
German,Female,2017,Aged 18,Cumulative percentages,1645,A*,8.2
German,Female,2017,Aged 18,Cumulative percentages,1645,B and above,67.1
German,Female,2017,Aged 18,Cumulative percentages,1645,C and above,86.4
German,Female,2017,Aged 18,Cumulative percentages,1645,D and above,95.9
German,Female,2017,Aged 18,Cumulative percentages,1645,E and above,99.5
German,Female,2017,Aged 18,Non-cumulative percentages,1645,A,28.2
German,Female,2017,Aged 18,Non-cumulative percentages,1645,A*,8.2
German,Female,2017,Aged 18,Non-cumulative percentages,1645,B,30.7
German,Female,2017,Aged 18,Non-cumulative percentages,1645,C,19.4
German,Female,2017,Aged 18,Non-cumulative percentages,1645,D,9.4
German,Female,2017,Aged 18,Non-cumulative percentages,1645,E,3.7
German,Female,2017,All ages,Cumulative percentages,1970,A and above,38.8
German,Female,2017,All ages,Cumulative percentages,1970,A*,10.1
German,Female,2017,All ages,Cumulative percentages,1970,B and above,68.3
German,Female,2017,All ages,Cumulative percentages,1970,C and above,86.9
German,Female,2017,All ages,Cumulative percentages,1970,D and above,95.9
German,Female,2017,All ages,Cumulative percentages,1970,E and above,99.5
German,Female,2017,All ages,Non-cumulative percentages,1970,A,28.7
German,Female,2017,All ages,Non-cumulative percentages,1970,A*,10.1
German,Female,2017,All ages,Non-cumulative percentages,1970,B,29.5
German,Female,2017,All ages,Non-cumulative percentages,1970,C,18.6
German,Female,2017,All ages,Non-cumulative percentages,1970,D,9
German,Female,2017,All ages,Non-cumulative percentages,1970,E,3.6
German,Female,2018,Aged 18,Cumulative percentages,1545,A and above,34.1
German,Female,2018,Aged 18,Cumulative percentages,1545,A*,8.5
German,Female,2018,Aged 18,Cumulative percentages,1545,B and above,60.4
German,Female,2018,Aged 18,Cumulative percentages,1545,C and above,79.7
German,Female,2018,Aged 18,Cumulative percentages,1545,D and above,92.5
German,Female,2018,Aged 18,Cumulative percentages,1545,E and above,99.1
German,Female,2018,Aged 18,Non-cumulative percentages,1545,A,25.6
German,Female,2018,Aged 18,Non-cumulative percentages,1545,A*,8.5
German,Female,2018,Aged 18,Non-cumulative percentages,1545,B,26.2
German,Female,2018,Aged 18,Non-cumulative percentages,1545,C,19.3
German,Female,2018,Aged 18,Non-cumulative percentages,1545,D,12.8
German,Female,2018,Aged 18,Non-cumulative percentages,1545,E,6.6
German,Female,2018,All ages,Cumulative percentages,1720,A and above,35.5
German,Female,2018,All ages,Cumulative percentages,1720,A*,9.2
German,Female,2018,All ages,Cumulative percentages,1720,B and above,61.8
German,Female,2018,All ages,Cumulative percentages,1720,C and above,80.2
German,Female,2018,All ages,Cumulative percentages,1720,D and above,92.7
German,Female,2018,All ages,Cumulative percentages,1720,E and above,99.1
German,Female,2018,All ages,Non-cumulative percentages,1720,A,26.2
German,Female,2018,All ages,Non-cumulative percentages,1720,A*,9.2
German,Female,2018,All ages,Non-cumulative percentages,1720,B,26.3
German,Female,2018,All ages,Non-cumulative percentages,1720,C,18.4
German,Female,2018,All ages,Non-cumulative percentages,1720,D,12.5
German,Female,2018,All ages,Non-cumulative percentages,1720,E,6.4
German,Female,2019,Aged 18,Cumulative percentages,1520,A and above,37.5
German,Female,2019,Aged 18,Cumulative percentages,1520,A*,8.8
German,Female,2019,Aged 18,Cumulative percentages,1520,B and above,62.6
German,Female,2019,Aged 18,Cumulative percentages,1520,C and above,82.9
German,Female,2019,Aged 18,Cumulative percentages,1520,D and above,95
German,Female,2019,Aged 18,Cumulative percentages,1520,E and above,99.5
German,Female,2019,Aged 18,Non-cumulative percentages,1520,A,28.7
German,Female,2019,Aged 18,Non-cumulative percentages,1520,A*,8.8
German,Female,2019,Aged 18,Non-cumulative percentages,1520,B,25.2
German,Female,2019,Aged 18,Non-cumulative percentages,1520,C,20.2
German,Female,2019,Aged 18,Non-cumulative percentages,1520,D,12.1
German,Female,2019,Aged 18,Non-cumulative percentages,1520,E,4.5
German,Female,2019,All ages,Cumulative percentages,1725,A and above,40.3
German,Female,2019,All ages,Cumulative percentages,1725,A*,11
German,Female,2019,All ages,Cumulative percentages,1725,B and above,64.5
German,Female,2019,All ages,Cumulative percentages,1725,C and above,83.9
German,Female,2019,All ages,Cumulative percentages,1725,D and above,95.2
German,Female,2019,All ages,Cumulative percentages,1725,E and above,99.6
German,Female,2019,All ages,Non-cumulative percentages,1725,A,29.3
German,Female,2019,All ages,Non-cumulative percentages,1725,A*,11
German,Female,2019,All ages,Non-cumulative percentages,1725,B,24.2
German,Female,2019,All ages,Non-cumulative percentages,1725,C,19.5
German,Female,2019,All ages,Non-cumulative percentages,1725,D,11.2
German,Female,2019,All ages,Non-cumulative percentages,1725,E,4.4
German,Female,2020,Aged 18,Cumulative percentages,1485,A and above,57
German,Female,2020,Aged 18,Cumulative percentages,1485,A*,20.6
German,Female,2020,Aged 18,Cumulative percentages,1485,B and above,83.3
German,Female,2020,Aged 18,Cumulative percentages,1485,C and above,96.2
German,Female,2020,Aged 18,Cumulative percentages,1485,D and above,99.4
German,Female,2020,Aged 18,Cumulative percentages,1485,E and above,100
German,Female,2020,Aged 18,Non-cumulative percentages,1485,A,36.4
German,Female,2020,Aged 18,Non-cumulative percentages,1485,A*,20.6
German,Female,2020,Aged 18,Non-cumulative percentages,1485,B,26.3
German,Female,2020,Aged 18,Non-cumulative percentages,1485,C,12.9
German,Female,2020,Aged 18,Non-cumulative percentages,1485,D,3.2
German,Female,2020,Aged 18,Non-cumulative percentages,1485,E,0.6
German,Female,2020,All ages,Cumulative percentages,1635,A and above,58.3
German,Female,2020,All ages,Cumulative percentages,1635,A*,22.7
German,Female,2020,All ages,Cumulative percentages,1635,B and above,83.5
German,Female,2020,All ages,Cumulative percentages,1635,C and above,96.1
German,Female,2020,All ages,Cumulative percentages,1635,D and above,99.3
German,Female,2020,All ages,Cumulative percentages,1635,E and above,99.9
German,Female,2020,All ages,Non-cumulative percentages,1635,A,35.7
German,Female,2020,All ages,Non-cumulative percentages,1635,A*,22.7
German,Female,2020,All ages,Non-cumulative percentages,1635,B,25.2
German,Female,2020,All ages,Non-cumulative percentages,1635,C,12.5
German,Female,2020,All ages,Non-cumulative percentages,1635,D,3.2
German,Female,2020,All ages,Non-cumulative percentages,1635,E,0.7
German,Female,2021,Aged 18,Cumulative percentages,1405,A and above,64.9
German,Female,2021,Aged 18,Cumulative percentages,1405,A*,31.7
German,Female,2021,Aged 18,Cumulative percentages,1405,B and above,87.2
German,Female,2021,Aged 18,Cumulative percentages,1405,C and above,96.7
German,Female,2021,Aged 18,Cumulative percentages,1405,D and above,99.3
German,Female,2021,Aged 18,Cumulative percentages,1405,E and above,100
German,Female,2021,Aged 18,Non-cumulative percentages,1405,A,33.2
German,Female,2021,Aged 18,Non-cumulative percentages,1405,A*,31.7
German,Female,2021,Aged 18,Non-cumulative percentages,1405,B,22.2
German,Female,2021,Aged 18,Non-cumulative percentages,1405,C,9.6
German,Female,2021,Aged 18,Non-cumulative percentages,1405,D,2.6
German,Female,2021,Aged 18,Non-cumulative percentages,1405,E,0.7
German,Female,2021,All ages,Cumulative percentages,1525,A and above,66.4
German,Female,2021,All ages,Cumulative percentages,1525,A*,33.9
German,Female,2021,All ages,Cumulative percentages,1525,B and above,87.5
German,Female,2021,All ages,Cumulative percentages,1525,C and above,96.7
German,Female,2021,All ages,Cumulative percentages,1525,D and above,99.3
German,Female,2021,All ages,Cumulative percentages,1525,E and above,100
German,Female,2021,All ages,Non-cumulative percentages,1525,A,32.5
German,Female,2021,All ages,Non-cumulative percentages,1525,A*,33.9
German,Female,2021,All ages,Non-cumulative percentages,1525,B,21.1
German,Female,2021,All ages,Non-cumulative percentages,1525,C,9.2
German,Female,2021,All ages,Non-cumulative percentages,1525,D,2.6
German,Female,2021,All ages,Non-cumulative percentages,1525,E,0.7
German,Male,2008,All ages,Cumulative percentages,2335,A and above,41.7
German,Male,2008,All ages,Cumulative percentages,2335,B and above,66
German,Male,2008,All ages,Cumulative percentages,2335,C and above,84.2
German,Male,2008,All ages,Cumulative percentages,2335,D and above,94.5
German,Male,2008,All ages,Cumulative percentages,2335,E and above,98.8
German,Male,2008,All ages,Non-cumulative percentages,2335,A,41.7
German,Male,2008,All ages,Non-cumulative percentages,2335,B,24.3
German,Male,2008,All ages,Non-cumulative percentages,2335,C,18.2
German,Male,2008,All ages,Non-cumulative percentages,2335,D,10.3
German,Male,2008,All ages,Non-cumulative percentages,2335,E,4.3
German,Male,2009,All ages,Cumulative percentages,2170,A and above,41.2
German,Male,2009,All ages,Cumulative percentages,2170,B and above,66.2
German,Male,2009,All ages,Cumulative percentages,2170,C and above,83.9
German,Male,2009,All ages,Cumulative percentages,2170,D and above,94.2
German,Male,2009,All ages,Cumulative percentages,2170,E and above,99.1
German,Male,2009,All ages,Non-cumulative percentages,2170,A,41.2
German,Male,2009,All ages,Non-cumulative percentages,2170,B,25
German,Male,2009,All ages,Non-cumulative percentages,2170,C,17.7
German,Male,2009,All ages,Non-cumulative percentages,2170,D,10.3
German,Male,2009,All ages,Non-cumulative percentages,2170,E,4.9
German,Male,2010,All ages,Cumulative percentages,2085,A and above,42.8
German,Male,2010,All ages,Cumulative percentages,2085,A*,9.4
German,Male,2010,All ages,Cumulative percentages,2085,B and above,68.8
German,Male,2010,All ages,Cumulative percentages,2085,C and above,85
German,Male,2010,All ages,Cumulative percentages,2085,D and above,94.8
German,Male,2010,All ages,Cumulative percentages,2085,E and above,99
German,Male,2010,All ages,Non-cumulative percentages,2085,A,33.4
German,Male,2010,All ages,Non-cumulative percentages,2085,A*,9.4
German,Male,2010,All ages,Non-cumulative percentages,2085,B,26
German,Male,2010,All ages,Non-cumulative percentages,2085,C,16.2
German,Male,2010,All ages,Non-cumulative percentages,2085,D,9.8
German,Male,2010,All ages,Non-cumulative percentages,2085,E,4.2
German,Male,2011,All ages,Cumulative percentages,2020,A and above,43.7
German,Male,2011,All ages,Cumulative percentages,2020,A*,9.3
German,Male,2011,All ages,Cumulative percentages,2020,B and above,69.5
German,Male,2011,All ages,Cumulative percentages,2020,C and above,87.2
German,Male,2011,All ages,Cumulative percentages,2020,D and above,95.8
German,Male,2011,All ages,Cumulative percentages,2020,E and above,99.3
German,Male,2011,All ages,Non-cumulative percentages,2020,A,34.4
German,Male,2011,All ages,Non-cumulative percentages,2020,A*,9.3
German,Male,2011,All ages,Non-cumulative percentages,2020,B,25.8
German,Male,2011,All ages,Non-cumulative percentages,2020,C,17.7
German,Male,2011,All ages,Non-cumulative percentages,2020,D,8.6
German,Male,2011,All ages,Non-cumulative percentages,2020,E,3.5
German,Male,2012,All ages,Cumulative percentages,1830,A and above,42.5
German,Male,2012,All ages,Cumulative percentages,1830,A*,8.2
German,Male,2012,All ages,Cumulative percentages,1830,B and above,69.1
German,Male,2012,All ages,Cumulative percentages,1830,C and above,88
German,Male,2012,All ages,Cumulative percentages,1830,D and above,97
German,Male,2012,All ages,Cumulative percentages,1830,E and above,99.4
German,Male,2012,All ages,Non-cumulative percentages,1830,A,34.3
German,Male,2012,All ages,Non-cumulative percentages,1830,A*,8.2
German,Male,2012,All ages,Non-cumulative percentages,1830,B,26.6
German,Male,2012,All ages,Non-cumulative percentages,1830,C,18.9
German,Male,2012,All ages,Non-cumulative percentages,1830,D,9
German,Male,2012,All ages,Non-cumulative percentages,1830,E,2.4
German,Male,2013,All ages,Cumulative percentages,1605,A and above,44.5
German,Male,2013,All ages,Cumulative percentages,1605,A*,8
German,Male,2013,All ages,Cumulative percentages,1605,B and above,68.7
German,Male,2013,All ages,Cumulative percentages,1605,C and above,85.5
German,Male,2013,All ages,Cumulative percentages,1605,D and above,95.6
German,Male,2013,All ages,Cumulative percentages,1605,E and above,99.4
German,Male,2013,All ages,Non-cumulative percentages,1605,A,36.5
German,Male,2013,All ages,Non-cumulative percentages,1605,A*,8
German,Male,2013,All ages,Non-cumulative percentages,1605,B,24.2
German,Male,2013,All ages,Non-cumulative percentages,1605,C,16.8
German,Male,2013,All ages,Non-cumulative percentages,1605,D,10.1
German,Male,2013,All ages,Non-cumulative percentages,1605,E,3.8
German,Male,2014,All ages,Cumulative percentages,1590,A and above,43.5
German,Male,2014,All ages,Cumulative percentages,1590,A*,9.9
German,Male,2014,All ages,Cumulative percentages,1590,B and above,70.5
German,Male,2014,All ages,Cumulative percentages,1590,C and above,86.9
